INSTNM,CITY,INSTURL,st_fips,LATITUDE,LONGITUDE,MENONLY,WOMENONLY,RELAFFIL,ADM_RATE
Iowa State University,Ames,www.iastate.edu,19,42.0264,-93.6484,0,0,NULL,0.8252
Iowa Wesleyan College,Mount Pleasant,www.iwc.edu,19,40.9737,-91.5526,0,0,71,0.6012
Iowa Western Community College,Council Bluffs,www.iwcc.edu/,19,41.2741,-95.8011,0,0,NULL,NULL
University of Iowa,Iowa City,www.uiowa.edu,19,41.6607,-91.5357,0,0,NULL,0.8023
Kirkwood Community College,Cedar Rapids,www.kirkwood.edu,19,41.9113,-91.6512,0,0,NULL,NULL
La James International College-Cedar Falls,Cedar Falls,www.lajamesinternational.com,19,42.5138,-92.4286,0,0,NULL,NULL
La James International College-Johnston,Johnston,www.lajamesinternational.com,19,41.6607,-93.7378,0,0,NULL,NULL
La James College of Hairstyling and Cosmetology,Mason City,www.lajames.com,19,43.1536,-93.2006,0,0,NULL,NULL
La James International College-Ft Dodge,Fort Dodge,www.lajamesinternational.com,19,42.5005,-94.1639,0,0,NULL,NULL
Loras College,Dubuque,www.loras.edu,19,42.5041,-90.6802,0,0,30,0.6903
Luther College,Decorah,www.luther.edu,19,43.3136,-91.804,0,0,39,0.7212
Maharishi University of Management,Fairfield,www.mum.edu,19,41.0178,-91.9673,0,0,NULL,0.4189
Marshalltown Community College,Marshalltown,www.iavalley.edu/mcc/index.html,19,42.0007,-92.9094,0,0,NULL,NULL
Mercy College of Health Sciences,Des Moines,www.mchs.edu,19,41.5943,-93.6263,0,0,30,0.785
Morningside College,Sioux City,www.morningside.edu,19,42.4732,-96.3607,0,0,71,0.5337
Mount Mercy University,Cedar Rapids,www.mtmercy.edu,19,42.0019,-91.651,0,0,30,0.6845
Ashford University,Clinton,www.ashford.edu,19,41.8519,-90.1991,0,0,NULL,NULL
North Iowa Area Community College,Mason City,www.niacc.edu,19,43.1576,-93.1317,0,0,NULL,NULL
University of Northern Iowa,Cedar Falls,www.uni.edu,19,42.5149,-92.4597,0,0,NULL,0.8331
Northwestern College,Orange City,www.nwciowa.edu/,19,42.999,-96.0584,0,0,49,0.7609
Northeast Iowa Community College-Calmar,Calmar,www.nicc.edu,19,43.175,-91.8656,0,0,NULL,NULL
Northwest Iowa Community College,Sheldon,www.nwicc.edu,19,43.1846,-95.8788,0,0,NULL,NULL
Des Moines University-Osteopathic Medical Center,Des Moines,www.dmu.edu,19,41.5833,-93.6617,0,0,NULL,NULL
Iowa School of Beauty-Ottumwa,Ottumwa,iowaschoolofbeauty.com,19,41.0231,-92.418,0,0,NULL,NULL
Palmer College of Chiropractic-Davenport,Davenport,www.palmer.edu,19,41.529,-90.5746,0,0,NULL,0.6
PCI Academy-Ames,Ames,www.PCI-Academy.com,19,41.9977,-93.6136,0,0,NULL,NULL
Saint Ambrose University,Davenport,www.sau.edu,19,41.5401,-90.581,0,0,30,0.9617
St Luke's College,Sioux City,www.stlukescollege.edu,19,42.5178,-96.4049,0,0,79,0.375
La James International College-Davenport,Davenport,www.lajamesinternational.com,19,41.574,-90.5726,0,0,NULL,NULL
La James International College-Iowa City,Iowa City,www.lajamesinternational.com,19,41.6638,-91.5322,0,0,NULL,NULL
Simpson College,Indianola,www.simpson.edu,19,41.3655,-93.5635,0,0,71,0.8802
Southeastern Community College,West Burlington,www.scciowa.edu,19,40.8147,-91.1724,0,0,NULL,NULL
Southwestern Community College,Creston,www.swcciowa.edu,19,41.0734,-94.3809,0,0,NULL,NULL
Capri College-Davenport,Davenport,www.capricollege.edu,19,41.5748,-90.5392,0,0,NULL,NULL
Iowa School of Beauty-Sioux City,Sioux City,iowaschoolofbeauty.com,19,42.4436,-96.37,0,0,NULL,NULL
E Q School of Hair Design,Council Bluffs,www.eqschool.net,19,41.2611,-95.8511,0,0,NULL,NULL
Upper Iowa University,Fayette,www.uiu.edu,19,42.8403,-91.7997,0,0,NULL,0.5818
Waldorf College,Forest City,www.waldorf.edu,19,43.2622,-93.64,0,0,NULL,0.5067
Wartburg College,Waverly,www.wartburg.edu,19,42.7276,-92.4809,0,0,39,0.7765
Wartburg Theological Seminary,Dubuque,www.wartburgseminary.edu,19,42.4852,-90.6911,0,0,39,NULL
College of Hair Design,Waterloo,CHD.net,19,42.4783,-92.3238,0,0,NULL,NULL
Western Iowa Tech Community College,Sioux City,www.witcc.edu,19,42.483,-96.3489,0,0,NULL,NULL
William Penn University,Oskaloosa,www.wmpenn.edu,19,41.3089,-92.6483,0,0,65,0.5766
Allen County Community College,Iola,www.allencc.edu,20,37.9377,-95.3968,0,0,NULL,NULL
Baker University,Baldwin City,www.bakeru.edu,20,38.7773,-95.1882,0,0,71,0.869
Barton County Community College,Great Bend,www.bartonccc.edu,20,38.4033,-98.7317,0,0,NULL,NULL
Benedictine College,Atchison,www.benedictine.edu,20,39.573,-95.1114,0,0,30,0.6057
Bethany College,Lindsborg,www.bethanylb.edu,20,38.5786,-97.6732,0,0,39,0.5882
Bethel College-North Newton,North Newton,www.bethelks.edu,20,38.0753,-97.3426,0,0,99,0.644
Brown Mackie College-Kansas City,Lenexa,www.brownmackie.edu,20,38.9529,-94.7343,0,0,NULL,NULL
Brown Mackie College-Salina,Salina,www.brownmackie.edu,20,38.8398,-97.6097,0,0,NULL,NULL
Bryan University,Topeka,www.bryanu.edu,20,39.0387,-95.7437,0,0,NULL,NULL
Butler Community College,El Dorado,www.butlercc.edu/,20,37.8064,-96.8827,0,0,NULL,NULL
Central Baptist Theological Seminary,Shawnee,www.cbts.edu,20,39.0094,-94.8384,0,0,52,NULL
Central Christian College of Kansas,McPherson,www.centralchristian.edu,20,38.358,-97.6674,0,0,64,0.5045
Cloud County Community College,Concordia,www.cloud.edu,20,39.5542,-97.6641,0,0,NULL,NULL
Coffeyville Community College,Coffeyville,www.coffeyville.edu,20,37.0338,-95.6214,0,0,NULL,NULL
Colby Community College,Colby,www.colbycc.edu,20,39.378,-101.0513,0,0,NULL,NULL
Cowley County Community College,Arkansas City,www.cowley.edu,20,37.0619,-97.0419,0,0,NULL,NULL
Marinello Schools of Beauty-Manhattan,Manhattan,www.marinello.com,20,39.1795,-96.5639,0,0,NULL,NULL
Dodge City Community College,Dodge City,www.dc3.edu,20,37.7778,-100.0373,0,0,NULL,NULL
Donnelly College,Kansas City,donnelly.edu,20,39.1122,-94.651,0,0,30,NULL
Emporia State University,Emporia,www.emporia.edu,20,38.4126,-96.1795,0,0,NULL,0.6069
Flint Hills Technical College,Emporia,www.fhtc.edu,20,38.421,-96.2236,0,0,NULL,NULL
Fort Hays State University,Hays,www.fhsu.edu,20,38.8724,-99.3405,0,0,NULL,0.8917
Barclay College,Haviland,www.barclaycollege.edu,20,37.6207,-99.104,0,0,65,0.5285
Friends University,Wichita,www.friends.edu,20,37.6785,-97.3667,0,0,NULL,0.5862
Fort Scott Community College,Fort Scott,www.fortscott.edu,20,37.8162,-94.716,0,0,NULL,NULL
Garden City Community College,Garden City,www.gcccks.edu,20,37.971,-100.8474,0,0,NULL,NULL
Haskell Indian Nations University,Lawrence,www.haskell.edu,20,38.9378,-95.2325,0,0,NULL,NULL
Hays Academy of Hair Design,Hays,www.haysacademy.com,20,38.872,-99.331,0,0,NULL,NULL
Hesston College,Hesston,www.hesston.edu,20,38.1345,-97.4333,0,0,69,NULL
Highland Community College,Highland,www.highlandcc.edu,20,39.8603,-95.2726,0,0,NULL,NULL
Hutchinson Community College,Hutchinson,www.hutchcc.edu,20,38.0668,-97.9196,0,0,NULL,NULL
Independence Community College,Independence,www.indycc.edu,20,37.1956,-95.7205,0,0,NULL,NULL
Johnson County Community College,Overland Park,www.jccc.edu,20,38.9238,-94.7306,0,0,NULL,NULL
Concorde Career Colleges,Kansas City,www.concorde.edu,29,39.0686,-94.5901,0,0,NULL,1
Kansas City Kansas Community College,Kansas City,www.kckcc.edu,20,39.1219,-94.7481,0,0,NULL,NULL
University of Kansas,Lawrence,www.ku.edu,20,38.9574,-95.2459,0,0,NULL,0.9228
Newman University,Wichita,www.newmanu.edu,20,37.6723,-97.3788,0,0,30,0.4472
Old Town Barber College-Wichita,Wichita,www.otbcollege.com,20,37.6858,-97.3234,0,0,NULL,NULL
Kansas State University,Manhattan,www.k-state.edu,20,39.1886,-96.5811,0,0,NULL,0.9591
Kansas Wesleyan University,Salina,www.kwu.edu,20,38.8139,-97.6095,0,0,71,0.537
Washburn Institute of Technology,Topeka,www.washburntech.edu,20,39.0461,-95.7498,0,0,NULL,0.7923
La Baron Hairdressing Academy-Overland Park,Overland Park,labarononline.com,20,38.9818,-94.6758,0,0,NULL,NULL
Labette Community College,Parsons,www.labette.edu,20,37.3391,-95.2554,0,0,NULL,NULL
Manhattan Area Technical College,Manhattan,www.manhattantech.edu,20,39.1978,-96.6157,0,0,NULL,NULL
Manhattan Christian College,Manhattan,www.mccks.edu,20,39.1858,-96.579,0,0,48,0.5988
McPherson College,McPherson,www.mcpherson.edu,20,38.3715,-97.6443,0,0,58,0.866
MidAmerica Nazarene University,Olathe,www.mnu.edu,20,38.8726,-94.7826,0,0,59,0.7223
Neosho County Community College,Chanute,www.neosho.edu,20,37.67,-95.4647,0,0,NULL,NULL
North Central Kansas Technical College,Beloit,www.ncktc.edu,20,39.4816,-98.1109,0,0,NULL,NULL
Northwest Kansas Technical College,Goodland,www.nwktc.edu,20,39.3464,-101.7002,0,0,NULL,NULL
Ottawa University-Ottawa,Ottawa,www.ottawa.edu,20,38.6029,-95.2638,0,0,52,0.9888
Ottawa University-Kansas City,Overland Park,www.ottawa.edu,20,38.9309,-94.6894,0,0,52,NULL
Pittsburg State University,Pittsburg,www.pittstate.edu,20,37.3913,-94.7048,0,0,NULL,0.7898
Pratt Community College,Pratt,www.prattcc.edu,20,37.6539,-98.714,0,0,NULL,NULL
University of Saint Mary,Leavenworth,www.stmary.edu,20,39.2773,-94.9069,0,0,30,0.4707
Salina Area Technical College,Salina,www.salinatech.edu,20,38.7938,-97.6379,0,0,NULL,NULL
Seward County Community College and Area Technical School,Liberal,www.sccc.edu,20,37.0598,-100.9177,0,0,NULL,NULL
Sidneys Hair Dressing College,Hutchinson,www.sidneyshair.com,20,38.057,-97.9126,0,0,NULL,NULL
Southwestern College,Winfield,www.sckans.edu,20,37.2493,-96.9783,0,0,71,0.8968
Sterling College,Sterling,www.sterling.edu,20,38.2198,-98.21,0,0,NULL,0.4405
Tabor College,Hillsboro,www.tabor.edu,20,38.3486,-97.201,0,0,43,0.735
Washburn University,Topeka,www.washburn.edu,20,39.035,-95.7023,0,0,NULL,NULL
Wichita Area Technical College,Wichita,www.watc.edu,20,37.7572,-97.2263,0,0,NULL,NULL
Wichita State University,Wichita,www.wichita.edu,20,37.7165,-97.2967,0,0,NULL,0.9576
Wichita Technical Institute,Wichita,www.wti.edu,20,37.657,-97.3718,0,0,NULL,NULL
Alice Lloyd College,Pippa Passes,www.alc.edu,21,37.3351,-82.8751,0,0,NULL,0.4502
Asbury University,Wilmore,www.asbury.edu,21,37.862,-84.6626,0,0,NULL,0.6573
Asbury Theological Seminary,Wilmore,www.asburyseminary.edu,21,37.8637,-84.6619,0,0,42,NULL
Ashland Community and Technical College,Ashland,www.ashland.kctcs.edu/,21,38.4692,-82.6507,0,0,NULL,NULL
Barrett and Company School of Hair Design,Nicholasville,www.barrett.edu,21,37.8664,-84.5799,0,0,NULL,NULL
Bellarmine University,Louisville,www.bellarmine.edu,21,38.2191,-85.7049,0,0,30,0.9478
Berea College,Berea,www.berea.edu,21,37.5733,-84.2893,0,0,NULL,0.3401
PJ's College of Cosmetology-Bowling Green,Bowling Green,GOTOPJS.COM,21,36.9799,-86.4677,0,0,NULL,NULL
Southcentral Kentucky Community and Technical College,Bowling Green,www.bowlinggreen.kctcs.edu,21,36.9848,-86.4767,0,0,NULL,NULL
Brescia University,Owensboro,www.brescia.edu,21,37.769,-87.1115,0,0,30,0.45
Campbellsville University,Campbellsville,www.campbellsville.edu,21,37.3433,-85.3489,0,0,75,0.6844
Bluegrass Community and Technical College,Lexington,www.bluegrass.kctcs.edu/,21,38.0245,-84.5023,0,0,NULL,NULL
Centre College,Danville,www.centre.edu,21,37.6451,-84.7792,0,0,66,0.6857
Clear Creek Baptist Bible College,Pineville,www.ccbbc.edu/,21,36.7252,-83.7277,0,0,75,NULL
Paul Mitchell the School-Lexington,Lexington,school.paulmitchell.edu/lexington-ky/,21,37.9801,-84.5514,0,0,NULL,NULL
Collins School of Cosmetology,Middlesboro,collinsschoolofcosmetology.freehostia.com/,21,36.6055,-83.7152,0,0,NULL,NULL
Galen College of Nursing-Louisville,Louisville,www.galencollege.edu/louisville,21,38.2773,-85.6976,0,0,NULL,0.6696
University of the Cumberlands,Williamsburg,www.ucumberlands.edu,21,36.7365,-84.1624,0,0,54,0.7127
Eastern Kentucky University,Richmond,www.eku.edu,21,37.7404,-84.3014,0,0,NULL,0.6002
Elizabethtown Community and Technical College,Elizabethtown,www.elizabethtown.kctcs.edu,21,37.7031,-85.8614,0,0,NULL,NULL
Frontier Nursing University,Hyden,www.frontier.edu/,21,37.1636,-83.3764,0,0,NULL,NULL
Georgetown College,Georgetown,www.georgetowncollege.edu,21,38.2079,-84.5546,0,0,54,0.8219
PJ's College of Cosmetology-Glasgow,Glasgow,GOTOPJS.COM,21,37.0117,-85.9249,0,0,NULL,NULL
Hazard Community and Technical College,Hazard,www.hazard.kctcs.edu,21,37.2338,-83.1745,0,0,NULL,NULL
Paul Mitchell the School-Louisville,Louisville,www.paulmitchelltheschool.com,21,38.2503,-85.5788,0,0,NULL,NULL
Henderson Community College,Henderson,www.hencc.kctcs.edu,21,37.7977,-87.6501,0,0,NULL,NULL
Hopkinsville Community College,Hopkinsville,hopkinsville.kctcs.edu/,21,36.8861,-87.4916,0,0,NULL,NULL
Daymar College-Paducah Main,Paducah,www.daymarcollege.edu/college/paducah,21,37.0676,-88.6324,0,0,NULL,NULL
Jefferson Community and Technical College,Louisville,www.jefferson.kctcs.edu,21,38.2475,-85.7535,0,0,NULL,NULL
Jenny Lea Academy of Cosmetology,Harlan,jennyleaacademy.com/,21,36.8473,-83.3237,0,0,NULL,NULL
The Salon Professional Academy-Lexington,Lexington,thesalonprofessionalacademylexington.com/,21,38.0324,-84.4905,0,0,NULL,NULL
National College-Lexington,Lexington,www.national-college.edu,21,38.0288,-84.4191,0,0,NULL,NULL
Kentucky Mountain Bible College,Vancleve,www.kmbc.edu/,21,37.6043,-83.4377,0,0,78,0.5075
Kentucky State University,Frankfort,www.kysu.edu,21,38.2011,-84.8555,0,0,NULL,0.3774
Kentucky Wesleyan College,Owensboro,WWW.KWC.EDU,21,37.7447,-87.122,0,0,71,0.671
University of Kentucky,Lexington,www.uky.edu,21,38.0281,-84.5107,0,0,NULL,0.6861
Kentucky Christian University,Grayson,www.kcu.edu,21,38.339,-82.9469,0,0,48,0.5136
Lexington Theological Seminary,Lexington,www.lextheo.edu,21,38.0371,-84.5093,0,0,61,NULL
Lindsey Wilson College,Columbia,www.lindsey.edu,21,37.1019,-85.2999,0,0,71,NULL
Sullivan College of Technology and Design,Louisville,www.sctd.edu,21,38.2003,-85.6885,0,0,NULL,0.8305
University of Louisville,Louisville,www.louisville.edu,21,38.2158,-85.7588,0,0,NULL,0.7112
Louisville Presbyterian Theological Seminary,Louisville,www.lpts.edu,21,38.2369,-85.6857,0,0,66,NULL
Madisonville Community College,Madisonville,www.madisonville.kctcs.edu/,21,37.3627,-87.5121,0,0,NULL,NULL
Maysville Community and Technical College,Maysville,maysville.kctcs.edu,21,38.627,-83.8056,0,0,NULL,NULL
Mid-Continent University,Mayfield,www.midcontinent.edu,21,36.8154,-88.6484,0,0,54,0.7031
Midway College,Midway,www.midway.edu,21,38.1444,-84.6793,0,1,61,0.5381
Morehead State University,Morehead,www.moreheadstate.edu,21,38.1885,-83.4297,0,0,NULL,0.8449
Murray State University,Murray,www.murraystate.edu,21,36.6124,-88.3235,0,0,NULL,0.8217
Gateway Community and Technical College,Florence,www.gateway.kctcs.edu,21,38.9611,-84.6295,0,0,NULL,NULL
Northern Kentucky University,Highland Heights,www.nku.edu,21,39.0292,-84.466,0,0,NULL,0.467
Nutek Academy of Beauty Inc,Mount Sterling,nutekacademy.com,21,38.0755,-83.9494,0,0,NULL,NULL
Daymar College-Owensboro,Owensboro,www.daymarcollege.edu,21,37.7378,-87.1438,0,0,NULL,NULL
West Kentucky Community and Technical College,Paducah,www.westkentucky.kctcs.edu,21,37.0541,-88.6588,0,0,NULL,NULL
Pat Wilson's Beauty College,Henderson,patwilsonsbeautycollege.org,21,37.8422,-87.5904,0,0,NULL,NULL
University of Pikeville,Pikeville,www.upike.edu,21,37.4788,-82.5203,0,0,66,1
Big Sandy Community and Technical College,Prestonsburg,www.bigsandy.kctcs.edu,21,37.6876,-82.7784,0,0,NULL,NULL
Brown Mackie College-Louisville,Louisville,www.brownmackie.edu,21,38.1573,-85.6967,0,0,NULL,NULL
Empire Beauty School-Chenoweth,Louisville,www.empire.edu,21,38.2557,-85.6577,0,0,NULL,NULL
Saint Catharine College,Saint Catharine,www.sccky.edu,21,37.7088,-85.2614,0,0,30,NULL
Empire Beauty School-Elizabethtown,Elizabethtown,www.empire.edu,21,37.7,-85.8801,0,0,NULL,NULL
Empire Beauty School-Dixie,Louisville,www.empire.edu,21,38.1671,-85.8309,0,0,NULL,NULL
Empire Beauty School-Florence,Florence,www.empire.edu,21,39.011,-84.6274,0,0,NULL,NULL
Brown Mackie College-Northern Kentucky,Fort Mitchell,www.brownmackie.edu,21,39.0419,-84.5717,0,0,NULL,NULL
Somerset Community College,Somerset,www.somerset.kctcs.edu/,21,37.0596,-84.6175,0,0,NULL,NULL
Southeast Kentucky Community and Technical College,Cumberland,www.southeast.kctcs.edu,21,36.9713,-82.9949,0,0,NULL,NULL
Spalding University,Louisville,www.spalding.edu,21,38.2432,-85.7596,0,0,30,0.8108
Spencerian College-Louisville,Louisville,www.spencerian.edu,21,38.1761,-85.8212,0,0,NULL,NULL
Sullivan University,Louisville,www.sullivan.edu,21,38.2128,-85.6705,0,0,NULL,NULL
Thomas More College,Crestview Hills,www.thomasmore.edu,21,39.023,-84.5689,0,0,30,0.8775
Transylvania University,Lexington,www.transy.edu,21,38.0532,-84.4939,0,0,61,0.9615
Trend Setters' Academy of Beauty Culture-Louisville,Louisville,www.trendsettersabc.com,21,38.146,-85.8377,0,0,NULL,NULL
Union College,Barbourville,www.unionky.edu,21,36.8691,-83.888,0,0,71,0.7416
Western Kentucky University,Bowling Green,www.wku.edu,21,36.9857,-86.4559,0,0,NULL,0.9232
Central Louisiana Technical Community College,Alexandria,www.cltc.edu,22,31.2596,-92.445,0,0,NULL,NULL
American School of Business,Shreveport,WWW.AMERICANSCHOOLOFBUSINESS.COM,22,32.415,-93.725,0,0,NULL,NULL
Ayers Career College,Shreveport,www.ayers.edu,22,32.4183,-93.7982,0,0,NULL,NULL
Baton Rouge General Medical Center-School of Nursing,Baton Rouge,www.brgeneral.org/site406.php,22,30.4497,-91.1528,0,0,NULL,NULL
Baton Rouge General Medical Center-Radiologic Technology,Baton Rouge,www.brgeneral.org/Medical-Education/school-of-radiologic-technology,22,30.4483,-91.1536,0,0,NULL,NULL
Baton Rouge School of Computers,Baton Rouge,www.brsc.edu,22,30.4273,-91.0708,0,0,NULL,NULL
Capital Area Technical College,Baton Rouge,www.catc.edu,22,30.4776,-91.1554,0,0,NULL,NULL
Bossier Parish Community College,Bossier City,www.bpcc.edu,22,32.5396,-93.6469,0,0,NULL,NULL
Cameron College,New Orleans,www.cameroncollege.com,22,29.9656,-90.0882,0,0,NULL,NULL
Centenary College of Louisiana,Shreveport,www.centenary.edu,22,32.483,-93.7315,0,0,71,0.6597
Cloyd's Beauty School 1 Inc,West Monroe,cloydsbeautyschool.com,22,32.4999,-92.127,0,0,NULL,NULL
Crescent City Bartending School,New Orleans,crescent.edu,22,29.9666,-90.0866,0,0,NULL,NULL
D'Jay's School of Beauty Arts and Sciences,Baton Rouge,www.djaysschoolofbeauty.com,22,30.4622,-91.0716,0,0,NULL,NULL
Delgado Community College,New Orleans,WWW.DCC.EDU,22,29.9851,-90.104,0,0,NULL,NULL
Delta School of Business and Technology,Lake Charles,www.deltatech.edu,22,30.2287,-93.2143,0,0,NULL,NULL
Demmons School of Beauty,Lake Charles,demmonschool.com,22,30.2227,-93.2187,0,0,NULL,NULL
Denham Springs Beauty School,Denham Springs,www.dsbeautyschool.com,22,30.4846,-90.9448,0,0,NULL,NULL
Dillard University,New Orleans,www.dillard.edu,22,29.9965,-90.0653,0,0,71,0.3544
Nunez Community College,Chalmette,www.nunez.edu,22,29.9542,-89.9589,0,0,NULL,NULL
Grambling State University,Grambling,www.gram.edu,22,32.5227,-92.7174,0,0,NULL,0.4363
Guy's Shreveport Academy of Cosmetology Inc,Shreveport,guysacademy.com,22,32.4835,-93.7055,0,0,NULL,NULL
ITI Technical College,Baton Rouge,www.iticollege.edu,22,30.3678,-91.0261,0,0,NULL,NULL
John Jay Beauty College,New Orleans,johnjaybeauty.com,22,30.0196,-90.1085,0,0,NULL,NULL
John Jay Beauty College,Kenner,johnjaybeauty.com,22,30.0073,-90.2303,0,0,NULL,NULL
Louisiana State University Health Sciences Center-New Orleans,New Orleans,www.lsuhsc.edu/,22,29.9573,-90.0831,0,0,NULL,NULL
Louisiana State University-Alexandria,Alexandria,www.lsua.edu,22,31.1786,-92.4144,0,0,NULL,0.6074
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,www.lsu.edu,22,30.5521,-91.1967,0,0,NULL,0.7623
Louisiana State University-Eunice,Eunice,www.lsue.edu,22,30.4733,-92.4345,0,0,NULL,NULL
Louisiana State University-Shreveport,Shreveport,www.lsus.edu/,22,32.4288,-93.7038,0,0,NULL,0.8349
Acadiana Technical College-Lafayette Campus,Lafayette,www.solacc.edu/,22,30.2186,-92.0509,0,0,NULL,NULL
Aveda Institute-Baton Rouge,Baton Rouge,www.avedainstitutesbb.com,22,30.4255,-91.0538,0,0,NULL,NULL
Aveda Institute-Lafayette,Lafayette,www.avedainstitutesbb.com,22,30.2062,-92.0421,0,0,NULL,NULL
Louisiana Academy of Beauty,Eunice,www.laacademyofbeauty.com/index.html,22,30.4957,-92.4106,0,0,NULL,NULL
Louisiana College,Pineville,www.lacollege.edu,22,31.3223,-92.4256,0,0,75,0.7423
Opelousas School of Cosmetology Inc,Opelousas,www.opelousascosmetology.com,22,30.5311,-92.0781,0,0,NULL,NULL
Louisiana Tech University,Ruston,www.latech.edu,22,32.5255,-92.6496,0,0,NULL,0.6744
Loyola University New Orleans,New Orleans,www.loyno.edu,22,29.9361,-90.1204,0,0,30,0.8707
McNeese State University,Lake Charles,www.mcneese.edu,22,30.1808,-93.2156,0,0,NULL,0.6151
University of New Orleans,New Orleans,www.uno.edu,22,30.0285,-90.0685,0,0,NULL,0.5036
Nicholls State University,Thibodaux,www.nicholls.edu,22,29.7927,-90.8029,0,0,NULL,0.8694
University of Louisiana at Monroe,Monroe,www.ulm.edu,22,32.528,-92.0739,0,0,NULL,0.7724
Northwest Louisiana Technical College,Minden,www.nwltc.edu,22,32.6192,-93.2909,0,0,NULL,NULL
Notre Dame Seminary Graduate School of Theology,New Orleans,www.nds.edu,22,29.9581,-90.1142,0,0,30,NULL
Northwestern State University of Louisiana,Natchitoches,www.nsula.edu/,22,31.7507,-93.0977,0,0,NULL,0.84
Our Lady of Holy Cross College,New Orleans,www.olhcc.edu,22,29.9125,-89.9971,0,0,30,0.4847
Our Lady of the Lake College,Baton Rouge,www.ololcollege.edu,22,30.3957,-91.1116,0,0,30,0.6615
Pat Goins Benton Road Beauty School,Bossier City,www.patgoins.edu,22,32.5161,-93.7164,0,0,NULL,NULL
Pat Goins Monroe Beauty School,Monroe,www.patgoins.edu/,22,32.5221,-92.0862,0,0,NULL,NULL
Pat Goins Ruston Beauty School,Ruston,www.patgoins.edu,22,32.528,-92.6397,0,0,NULL,NULL
Pineville Beauty School,Pineville,www.pinevillebeauty.com,22,31.3256,-92.4312,0,0,NULL,NULL
Aveda Institute-Covington,Covington,www.avedainstitutesbb.com,22,30.494,-90.1042,0,0,NULL,NULL
Saint Joseph Seminary College,St. Benedict,saintjosephabbey.com/,22,30.5268,-90.1136,1,0,30,NULL
Vanguard College of Cosmetology-Slidell,Slidell,vanguard.paulmitchell.edu,22,30.2281,-89.7785,0,0,NULL,NULL
South Louisiana Beauty College,Houma,SLBC-HOUMA.COM,22,29.5927,-90.6963,0,0,NULL,NULL
L E Fletcher Technical Community College,Schriever,www.fletcher.edu/,22,29.6003,-90.739,0,0,NULL,NULL
Remington College-Lafayette Campus,Lafayette,www.remingtoncollege.edu/louisiana-career-school-overview,22,30.1687,-92.0238,0,0,NULL,0.9192
SOWELA Technical Community College,Lake Charles,www.sowela.edu,22,30.2173,-93.1625,0,0,NULL,NULL
Stevensons Academy of Hair Design,New Orleans,www.stevenson-academy.com,22,29.9485,-90.0524,0,0,NULL,NULL
Southeastern Louisiana University,Hammond,www.selu.edu,22,30.5136,-90.4686,0,0,NULL,0.448
Southern University and A & M College,Baton Rouge,www.subr.edu,22,30.5246,-91.1901,0,0,NULL,0.359
Southern University at New Orleans,New Orleans,www.suno.edu,22,30.0267,-90.0444,0,0,NULL,0.4888
Southern University at Shreveport,Shreveport,www.susla.edu,22,32.5456,-93.8346,0,0,NULL,NULL
University of Louisiana at Lafayette,Lafayette,www.louisiana.edu,22,30.2153,-92.0194,0,0,NULL,0.593
Northshore Technical Community College,Bogalusa,northshorecollege.edu/,22,30.7591,-89.8453,0,0,NULL,NULL
Tulane University of Louisiana,New Orleans,tulane.edu,22,29.9397,-90.1204,0,0,NULL,0.2643
Xavier University of Louisiana,New Orleans,www.xula.edu,22,29.9642,-90.1073,0,0,30,0.5443
South Central Louisiana Technical College-Young Memorial Campus,Morgan City,www.scl.edu,22,29.6907,-91.1978,0,0,NULL,NULL
Kaplan University-Maine Campus,S Portland,www.kaplanuniversity.edu/locations.aspx,23,43.6898,-70.2711,0,0,NULL,NULL
College of the Atlantic,Bar Harbor,www.coa.edu,23,44.3996,-68.2288,0,0,NULL,0.7367
Bates College,Lewiston,www.bates.edu/,23,44.1053,-70.2033,0,0,NULL,0.2417
Beal College,Bangor,www.bealcollege.edu/,23,44.7852,-68.7808,0,0,NULL,NULL
Bowdoin College,Brunswick,www.bowdoin.edu/,23,43.9071,-69.9639,0,0,NULL,0.1495
Central Maine Medical Center College of Nursing and Health Professions,Lewiston,www.cmmccollege.edu,23,44.1005,-70.2177,0,0,NULL,0.4545
Central Maine Community College,Auburn,www.cmcc.edu,23,44.1343,-70.2355,0,0,NULL,NULL
Colby College,Waterville,www.colby.edu,23,44.5642,-69.6634,0,0,NULL,0.2604
Eastern Maine Community College,Bangor,www.emcc.edu,23,44.826,-68.7445,0,0,NULL,0.6639
Husson University,Bangor,www.husson.edu,23,44.8289,-68.7913,0,0,NULL,0.7989
Kennebec Valley Community College,Fairfield,www.kvcc.me.edu,23,44.5943,-69.6116,0,0,NULL,NULL
The Landing School,Arundel,www.landingschool.edu,23,43.3805,-70.5035,0,0,NULL,NULL
University of Maine at Augusta,Augusta,www.uma.edu/,23,44.3377,-69.7964,0,0,NULL,NULL
University of Maine at Farmington,Farmington,www.umf.maine.edu,23,44.668,-70.1475,0,0,NULL,0.837
University of Maine at Fort Kent,Fort Kent,www.umfk.maine.edu,23,47.2503,-68.5884,0,0,NULL,0.6293
University of Maine at Machias,Machias,machias.edu,23,44.7099,-67.4565,0,0,NULL,0.854
University of Maine,Orono,www.umaine.edu/,23,44.896,-68.6738,0,0,NULL,0.8106
Maine Maritime Academy,Castine,www.mainemaritime.edu,23,44.3873,-68.8032,0,0,NULL,0.6536
