INSTNM,CITY,INSTURL,st_fips,LATITUDE,LONGITUDE,MENONLY,WOMENONLY,RELAFFIL,ADM_RATE
The Salon Professional Academy-Kenosha,Kenosha,www.kenoshatspa.com/,55,42.5589,-87.8528,0,0,NULL,NULL
Paul Mitchell the School-Indianapolis,Indianapolis,indianapolis.paulmitchell.edu,18,39.6392,-86.1292,0,0,NULL,NULL
Taylor Andrews Academy-St George,St. George,www.taylorandrew.com,49,37.1078,-113.5552,0,0,NULL,NULL
Seymour Beauty Academy,Seymour,www.SeymourBeautyAcademy.com,29,37.1471,-92.7695,0,0,NULL,NULL
Protege Academy,East Lansing,www.protegeacademy.com,26,42.7712,-84.4837,0,0,NULL,NULL
Colorado Academy of Veterinary Technology,Colorado Springs,www.coloradovettech.com,8,38.7786,-104.8086,0,0,NULL,0.8
Northeast Technical Institute,Scarborough,www.ntinow.edu,23,43.6088,-70.3139,0,0,NULL,NULL
Salinas Beauty College Inc,Salinas,salinasbeautycollege.com,6,36.6637,-121.6574,0,0,NULL,NULL
Academy for Salon Professionals,Santa Clara,www.academyforsalonpros.com,6,37.3523,-121.9634,0,0,NULL,NULL
Elite School of Cosmetology,Norwalk,www.eliteschoolofcosmetology.com,39,41.2333,-82.6083,0,0,NULL,NULL
Paul Mitchell the School-Las Vegas,Las Vegas,lasvegas.paulmitchell.edu/,32,36.0164,-115.1186,0,0,NULL,NULL
The Salon Professional Academy-Kokomo,Kokomo,kokomotspa.com/,18,40.4765,-86.1075,0,0,NULL,NULL
Hair Academy,Montgomery,www.thehairacademyllc.com,1,32.3377,-86.2569,0,0,NULL,NULL
Florida Academy,Fort Myers,www.florida-academy.edu,12,26.6082,-81.8233,0,0,NULL,NULL
Institute for Doctoral Studies in the Visual Arts,Portland,www.idsva.org,23,43.6515,-70.272,0,0,NULL,NULL
State Career College,Waukegan,www.statecareercollege.edu,17,42.3597,-87.8527,0,0,NULL,NULL
Academy for Salon Professionals,Canoga Park,www.academyla.com/,6,34.2222,-118.606,0,0,NULL,NULL
Paul Mitchell The School-Spokane,Spokane Valley,spokane.paulmitchell.edu,53,47.6571,-117.1997,0,0,NULL,NULL
Lincoln College of New England-Hartford,Hartford,www.lincolncollegene.edu,9,41.7669,-72.6939,0,0,NULL,NULL
Lincoln College of Technology-Cleveland,Cleveland,www.lincolnedu.com/campus/cleveland-oh,39,41.5041,-81.6848,0,0,NULL,NULL
J Renee Career Facilitation,Elgin,www.JRenee.edu,17,42.0705,-88.2888,0,0,NULL,NULL
National Personal Training Institute of Colorado,Lakewood,www.personaltraininginstitute.edu,8,39.7416,-105.1537,0,0,NULL,NULL
National Personal Training Institute of Colorado,Colorado Springs,www.personaltraininginstitute.edu,8,38.8945,-104.7544,0,0,NULL,NULL
International College of Beauty Arts & Sciences,Los Angeles,www.icbas.edu/,6,34.1472,-118.2726,0,0,NULL,NULL
The Salon Professional Academy-Shorewood,Shorewood,www.thesalonprofessionalacademy.com/shorewood/,17,41.5406,-88.2007,0,0,NULL,NULL
John Paul the Great Catholic University,Escondido,www.jpcatholic.com/,6,32.8996,-117.1077,0,0,30,0.8815
ITT Technical Institute-Durham,Durham,www.itt-tech.edu,37,35.9642,-78.9601,0,0,NULL,0.9153
ITT Technical Institute-Hanover,Hanover,www.itt-tech.edu,24,39.1707,-76.7269,0,0,NULL,0.8446
University of Phoenix-Jackson Campus,Flowood,www.phoenix.edu,28,32.3401,-90.0777,0,0,NULL,NULL
Independence University,Salt Lake City,www.independence.edu,49,40.6843,-111.8714,0,0,NULL,NULL
National American University-Tulsa,Tulsa,www.national.edu/locations/oklahoma/tulsa,40,36.0469,-95.9043,0,0,NULL,NULL
National American University-Centennial,Centennial,www.national.edu/locations/colorado/centennial,8,39.5672,-104.9606,0,0,NULL,NULL
National American University-Lee's Summit,Lee's Summit,www.national.edu/locations/missouri/lees-summit,29,38.9188,-94.4038,0,0,NULL,NULL
National American University-Colorado Springs South,Colorado Springs,www.national.edu/locations/colorado/colorado-springs-south,8,38.8477,-104.7223,0,0,NULL,NULL
Globe University-Appleton,Grand Chute,www.globeuniversity.edu/,55,44.2638,-88.4818,0,0,NULL,NULL
Salter College-Chicopee,Chicopee,www.salter.edu,25,42.1623,-72.5192,0,0,NULL,NULL
Chamberlain College of Nursing-Missouri,St. Louis,www.chamberlain.edu,29,38.7028,-90.436,0,0,NULL,0.6
Chamberlain College of Nursing-Texas,Houston,www.chamberlain.edu,48,29.839,-95.562,0,0,NULL,0
ITT Technical Institute-Oakland,Oakland,www.itt-tech.edu/npc,6,37.7428,-122.199,0,0,NULL,0.902
Continental School of Beauty Culture-Mattydale,Mattydale,www.continentalnow.com/index.php,36,43.1069,-76.1462,0,0,NULL,NULL
Everest College-Bedford Park,Bedford Park,www.everest.edu/campus/bedford_park,17,41.758,-87.7417,0,0,NULL,NULL
Fortis College-Akron,Akron,www.fortis.edu,39,41.102,-81.4774,0,0,NULL,NULL
Carrington College California-Pomona,Pomona,www.carrington.edu,6,34.0628,-117.803,0,0,NULL,1
Regency Beauty Institute-Copperwood,Houston,www.regency.edu,48,29.873,-95.6453,0,0,NULL,NULL
